name,level,stamina,ev,with_captain,scc,source_revision,source_path
Troll Crack Trooper,9,15,11 for four minions,+3 bonus to Stamina,mcdm.monsters.v1/monster.troll.statblock/troll-crack-trooper,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/troll/statblock/troll-crack-trooper.md
Troll Ravager,9,15,11 for four minions,+2 bonus to speed,mcdm.monsters.v1/monster.troll.statblock/troll-ravager,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/troll/statblock/troll-ravager.md
Cyclops,10,14,12 for four minions,+4 bonus to speed,mcdm.monsters.v1/monster.ogre.statblock/cyclops,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/ogre/statblock/cyclops.md
Giant Shambler Zombie,10,17,12 for four minions,+4 damage bonus to strikes,mcdm.monsters.v1/monster.undead.4th-echelon.statblock/giant-shambler-zombie,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/undead/4th-echelon/statblock/giant-shambler-zombie.md
Minotaur Stampede,10,17,12 for four minions,Gain an edge on strikes,mcdm.monsters.v1/monster.minotaur.statblock/minotaur-stampede,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/minotaur/statblock/minotaur-stampede.md
Optacus,10,14,12 for four minions,+4 bonus to speed,mcdm.monsters.v1/monster.demon.4th-echelon.statblock/optacus,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/demon/4th-echelon/statblock/optacus.md
Skeleton Knight,10,17,12 for four minions,Gain an edge on strikes,mcdm.monsters.v1/monster.undead.4th-echelon.statblock/skeleton-knight,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/undead/4th-echelon/statblock/skeleton-knight.md
Tyburaki,10,15,12 for four minions,+4 damage bonus to strikes,mcdm.monsters.v1/monster.demon.4th-echelon.statblock/tyburaki,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/demon/4th-echelon/statblock/tyburaki.md
Unguloid,10,17,12 for four minions,Have a double edge on strikes,mcdm.monsters.v1/monster.demon.4th-echelon.statblock/unguloid,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/demon/4th-echelon/statblock/unguloid.md
War Dog Blood Jumper,10,15,12 for four minions,+3 bonus to speed,mcdm.monsters.v1/monster.war-dog.4th-echelon.statblock/war-dog-blood-jumper,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/war-dog/4th-echelon/statblock/war-dog-blood-jumper.md
War Dog Hunter-Killer,10,14,12 for four minions,+4 damage bonus to strikes,mcdm.monsters.v1/monster.war-dog.4th-echelon.statblock/war-dog-hunter-killer,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/war-dog/4th-echelon/statblock/war-dog-hunter-killer.md
War Dog Socialite,10,14,12 for four minions,Gain an edge on strikes,mcdm.monsters.v1/monster.war-dog.4th-echelon.statblock/war-dog-socialite,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/war-dog/4th-echelon/statblock/war-dog-socialite.md
Wraith Skulker,10,15,12 for four minions,+3 bonus to speed,mcdm.monsters.v1/monster.undead.4th-echelon.statblock/wraith-skulker,fb83a789da8f0327a389c277a0c790b1648d5810,vendor/steel-compendium/en/unified/md/monster/undead/4th-echelon/statblock/wraith-skulker.md
